method,steps,latency_ms,speedup,char_acc,word_acc,cer,wer,fid,lpips,config,image_dir,ocr_json
AnyText2 (Teacher),50,10200,1.0,95.7,91.2,4.3,8.8,10.9,0.098,models_yaml/anytext2_sd15.yaml,student_model_v3/experiments/generated/teacher50_en,student_model_v3/experiments/results/table1b_en_teacher50_parseq_trocr.json
DDIM-4step,4,816,12.5,62.1,47.3,37.9,52.7,47.8,0.342,teacher+DDIM(4),student_model_v3/experiments/generated/ddim4_en,student_model_v3/experiments/results/table1b_en_ddim4_parseq_trocr.json
DDIM-10step,10,2040,5.0,74.8,62.1,25.2,37.9,31.2,0.241,teacher+DDIM(10),student_model_v3/experiments/generated/ddim10_en,student_model_v3/experiments/results/table1b_en_ddim10_parseq_trocr.json
DPM-Solver-10,10,912,11.2,76.9,65.4,23.1,34.6,28.7,0.218,teacher+DPM-Solver(10),student_model_v3/experiments/generated/dpmsolver10_en,student_model_v3/experiments/results/table1b_en_dpmsolver10_parseq_trocr.json
DPM-Solver-15,15,1368,7.5,82.1,71.8,17.9,28.2,22.3,0.181,teacher+DPM-Solver(15),student_model_v3/experiments/generated/dpmsolver15_en,student_model_v3/experiments/results/table1b_en_dpmsolver15_parseq_trocr.json
UniPC-10,10,948,10.8,78.3,67.2,21.7,32.8,26.8,0.207,teacher+UniPC(10),student_model_v3/experiments/generated/unipc10_en,student_model_v3/experiments/results/table1b_en_unipc10_parseq_trocr.json
LCM-baseline (no mask),4,792,12.9,78.7,68.9,21.3,31.1,24.1,0.193,student_model_v3/configs/ablation_A0_nomask.yaml,student_model_v3/experiments/generated/lcm_nomask4_en,student_model_v3/experiments/results/table1b_en_lcm_nomask4_parseq_trocr.json
LCM-baseline (mask),4,792,12.9,82.4,73.7,17.6,26.3,20.8,0.171,student_model_v3/configs/ablation_A0.yaml,student_model_v3/experiments/generated/lcm_mask4_en,student_model_v3/experiments/results/table1b_en_lcm_mask4_parseq_trocr.json
FlashGlyph (ours),4,828,12.3,89.3,82.9,10.7,17.1,15.7,0.139,student_model_v3/configs/lcm_v3.yaml,student_model_v3/experiments/generated/flashglyph4_en,student_model_v3/experiments/results/table1b_en_flashglyph4_parseq_trocr.json
FlashGlyph (2-step),2,420,24.3,83.7,75.1,16.3,24.9,19.2,0.156,lcm_v3.yaml + --num_inference_steps 2,student_model_v3/experiments/generated/flashglyph2_en,student_model_v3/experiments/results/table1b_en_flashglyph2_parseq_trocr.json
FlashGlyph (1-step),1,204,50.0,75.2,64.3,24.8,35.7,25.3,0.192,lcm_v3.yaml + --num_inference_steps 1,student_model_v3/experiments/generated/flashglyph1_en,student_model_v3/experiments/results/table1b_en_flashglyph1_parseq_trocr.json
